Customer_ID,Name,Age,Gender,Location,Date_of_Birth,Registration_Date
C00000001,Michelle Cordova,52,Female,Kennethville,1982-03-15,2021-10-10
C00000002,Joshua Armstrong,55,Male,Andrewmouth,1986-09-12,2020-11-28
C00000003,Robin Gomez,19,Male,Erinfort,2000-10-21,2020-01-21
C00000004,Benjamin Brooks,37,Female,Galvanville,1972-05-28,2021-01-26
C00000005,Angela Delgado,34,Female,Laurenshire,1965-05-10,2021-10-02
C00000006,Vanessa Campbell,37,Female,West Sierra,1999-10-12,2024-05-20
C00000007,Erica Miller,39,Female,Jonathantown,1989-02-14,2020-08-25
C00000008,Lori Buchanan,28,Female,Lake Christineshire,1966-02-10,2023-03-20
C00000009,Daniel White,65,Female,Geraldchester,2002-12-13,2021-04-23
C00000010,Richard Wright,60,Male,Lake Jennifer,1965-05-14,2023-01-11
C00000011,Jennifer Anderson,20,Male,Lake Dustinton,2005-07-03,2022-12-09
C00000012,Jordan Moreno,24,Female,New Jeffrey,1993-09-01,2022-05-29
C00000013,Ashley Blair,34,Male,Tyroneborough,1994-08-25,2020-02-24
C00000014,Craig Turner,47,Female,Walkerland,1972-04-08,2022-12-25
C00000015,Christine Scott,38,Female,Josephmouth,1965-12-20,2024-02-27
C00000016,Sydney Phillips,55,Male,Port Samanthaville,1959-05-01,2020-04-08
C00000017,Samuel Keith,48,Female,South Cherylhaven,1981-02-13,2023-12-12
C00000018,Katie Garcia,49,Female,Johnberg,1983-10-18,2021-11-18
C00000019,Jasmine Porter,32,Male,North Luis,1968-06-10,2021-09-16
C00000020,Ryan Schmidt,67,Male,West Susan,1964-03-01,2020-01-03
C00000021,Ricardo Mata,54,Female,Robertsberg,1961-10-02,2023-02-26
C00000022,Brian Gordon,63,Female,Youngberg,1983-07-04,2021-05-20
C00000023,Julie Brown,39,Male,Johnstad,1988-05-22,2022-04-28
C00000024,George Santiago,59,Female,Milesside,1991-02-23,2023-05-17
C00000025,Gregory Hill,29,Male,Spencefurt,1989-09-22,2023-06-15
C00000026,Samantha Murphy,44,Female,New Adam,2002-10-31,2023-10-11
C00000027,Brandon Turner MD,65,Male,Port Johnborough,1957-06-03,2022-10-25
C00000028,Anthony Parker,55,Female,Bryanfurt,1998-10-11,2021-06-10
C00000029,Henry Clay,48,Female,New Katietown,1966-12-21,2020-11-10
C00000030,Tamara Jimenez,47,Female,Collinsborough,1976-12-11,2023-05-23
C00000031,Laurie Foster,69,Male,Palmerfort,1958-01-31,2021-07-08
C00000032,Timothy Bradley,20,Female,South Anne,1970-01-06,2021-11-14
C00000033,Steven Caldwell,37,Female,North Paulland,1972-04-08,2020-12-09
C00000034,Natalie Harris,53,Male,Hardinghaven,1969-03-20,2020-10-15
C00000035,Tara Howard,69,Male,West Jennifer,1978-06-21,2022-04-08
C00000036,Kenneth Perkins,39,Male,Mcdonaldside,1969-01-17,2023-05-31
C00000037,Daniel Moore,42,Female,North Antonioville,1976-11-20,2021-02-22
C00000038,Jane Greene,34,Female,Carltown,1993-04-28,2022-04-29
C00000039,Luis Jones,32,Female,Shannonchester,1990-05-09,2021-09-14
C00000040,Jamie Rodgers,57,Female,West Chrisside,1971-08-11,2024-04-30
C00000041,Christine Holmes,68,Female,Hernandezfort,2002-04-18,2023-10-22
C00000042,Jonathan Salinas,27,Male,North Joymouth,1985-10-08,2022-10-20
C00000043,Jennifer Foley,60,Female,Joshuaville,1963-01-09,2020-08-29
C00000044,Jasmine Goodman,64,Male,New Alexis,1977-04-11,2022-12-21
C00000045,Michael Carrillo,31,Female,Port Nicole,1963-11-29,2024-02-11
C00000046,Kylie White,24,Male,Toddburgh,1996-09-02,2022-09-20
C00000047,Erin Myers,58,Male,Garyport,1958-04-02,2024-07-16
C00000048,Julie Bryant,52,Female,Jonathonchester,1969-12-30,2022-09-25
C00000049,Amy Stevens,19,Male,Richardtown,1992-02-03,2021-11-05
C00000050,Jimmy Alexander,24,Male,Johnsonside,1975-09-17,2022-08-12
C00000051,John Casey,41,Female,East Vanessa,1986-04-30,2023-06-07
